[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250228, Home Team: CHI, Away Team: TOR, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250115, Home Team: CHI, Away Team: ATL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250302, Home Team: IND, Away Team: CHI, Game Time: 5:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20241226, Home Team: ATL, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250205, Home Team: MIN, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250211, Home Team: CHI, Away Team: DET, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250331, Home Team: OKC, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250317, Home Team: UTA, Away Team: CHI, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250125, Home Team: CHI, Away Team: PHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250308, Home Team: MIA, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250104, Home Team: CHI, Away Team: NY, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250322, Home Team: LAL, Away Team: CHI, Game Time: 10:30p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250324, Home Team: DEN, Away Team: CHI, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250204, Home Team: CHI, Away Team: MIA, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250202, Home Team: DET, Away Team: CHI, Game Time: 3:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20241117, Home Team: CHI, Away Team: HOU, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Found team in API: Falcons
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250125, Home Team: ATL, Away Team: TOR, Game Time: 7:30p
